maroon,teal,gold,lime,red,blue,purple,brown,magenta,orange,green,yellow,pink,indigo,cyan,olive
"afuah, allan","altman, elizabeth j.","bilgram, volker","bortoluzzi, guido","cai, fangtong","cao, xinyan","dahl, darren w.","de jong, jeroen p.j.","della santa, silvia","gong, yu","hakkarainen, louna","hamdi-kidar, linda","hossain, mokter","kankanhalli, atreyi","koch, stefan","liao, xiao"
"bastian, bettina","szulanski, gabriel","gutstein, adele","yordanova, zornitsa","qiu, shanshan","fang, xiang","fuchs, christoph","poldervaart, sabrine","marchi, gianluca","jia, fu","heiskanen, eva","keinz, peter","leminen, seppo","kim, seung hyun","artmayr, philipp","xi, yunjiang"
"bogers, marcel","friedmann, jens christian","marchuk, anna","escobar, octavio","zhu, wei","yang, yu","schreier, martin","raasch, christina","tagliazucchi, giulia","shi, yangyan","helminen, pia","le nagard, emmanuelle","westerlund, mika","teo, hock hai","bierbamer, michael","ye, guangyu"
"mccarthy, ian p.","wu, nety","brem, alexander","khvatova, tatiana","li, shuqin","chai, ruirui","prandelli, emanuela","rigtering, coen","giachetti, claudio","zhang, yufang","freeman, stephanie","vellera, cyrielle","nyström, anna greta","ye, hua jonathan","guceri-ucar, gozem","yu, juan"
"pitt, leyland","von hippel, eric","gladysz, bartosz","maalaoui, adnane","qin, min","liu, wei","oberhauser, stefan","spaans, lara","de gennaro, pamela","sun, yanhua","johnson, mikael","vernette, eric","rajahonka, mervi","li, mingguo","inanc, duygu","zantow, kenneth"
"west, joel",,"ernst, markus","schiavone, francesco",,,"prügl, reinhard","janzik, lars",,,"juntunen, jouni k.",,"pacauskas, darius","ye, hua",,
,,"schulz, stefanie","villasalero, manuel",,,"pasquini, martina","wu, chia huei",,,"mäkinen, samuli",,"mäntymäki, matti",,,
,,,"ghasemzadeh, khatereh",,,"verona, gianmario",,,,"hyysalo, sampsa",,"rajala, risto",,,
,,,"raïes, karine",,,,,,,"repo, petteri",,,,,
,,,"rivieccio, giorgia",,,,,,,"timonen, päivi",,,,,
,,,,,,,,,,"usenyuk, svetlana",,,,,
,,,,,,,,,,"kristensson, per",,,,,
,,,,,,,,,,"stewart, james",,,,,
,,,,,,,,,,"trischler, jakob",,,,,
