,keywords,2,3,4,5,6,7,8,9,10,11,12,13,14,Dim_1,Dim_2,Dim_3
0,user innovation,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5594445801558896,-0.3161877399342961,-0.729333225340539
1,lead user,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0409702705054358,0.0365586081311432,0.0465850163523012
2,open innovation,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0193014498127102,-0.0053062056138007,0.0473329963301713
3,co-creation,1,1,2,2,2,2,2,2,2,2,2,2,2,0.0491208817299651,0.3173164282290207,0.0472619346215339
4,crowdsourcing,1,1,1,1,1,1,1,1,1,1,3,3,3,-0.175887461477821,-0.1505696966934714,0.1594048231582611
5,innovation,1,1,1,1,3,3,3,3,3,3,4,4,4,0.1608263565929698,0.0812931137467212,0.0081957799631603
6,user entrepreneurship,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0234276387067616,-0.000393027690623,0.1104663353693885
7,social medium,1,1,1,1,1,1,4,4,4,4,5,5,5,-0.179082108305822,-0.1194560898125265,-0.0283498264788662
8,online community,1,1,1,1,1,1,1,5,5,5,6,6,6,-0.2139270598606207,0.2112704714486742,0.2241661257698051
9,innovation policy,1,1,1,1,3,3,3,3,3,3,4,4,4,0.2085632238681576,0.0678847927194365,0.1355220407118944
10,consumer innovation,1,1,1,1,3,3,3,3,3,3,4,4,4,0.0970473551668195,0.0261973597486273,0.0740623731669563
11,makerspace,1,1,1,1,3,3,3,3,3,3,4,4,4,0.215983406857709,0.0295624817582792,0.2007788403304095
12,user involvement,1,1,1,1,1,1,4,4,4,4,5,5,5,-0.102073550881508,0.0017537087117999,-0.0974296149234884
13,user community,1,1,1,1,1,4,5,6,6,6,7,7,7,-0.0080920678958757,-0.1523885767415458,0.2239580437160125
14,motivation,1,1,1,1,1,1,1,5,7,7,8,8,8,-0.093173443202161,0.110762486599608,0.333446289126978
15,diffusion,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0253835292323841,-0.0406354678919978,-0.0177231772391671
16,knowledge,1,1,2,2,2,2,2,2,2,2,2,2,2,0.0950952430659435,0.4563630192190571,-0.1019312496212618
17,sources of innovation,1,1,2,2,2,2,2,2,2,2,2,2,2,-0.0082968883147686,0.5563146219026788,0.0008071166333313
18,articulation,1,2,3,3,4,5,6,7,8,8,9,9,9,0.3795775748808032,-0.3599792936298063,-0.2248154792237225
19,domestication,1,2,3,3,4,5,6,7,8,8,9,9,9,0.4452904943780806,-0.3488981531451564,-0.1125350807740056
20,script,1,2,3,3,4,5,6,7,8,8,9,9,9,0.4416202823689975,-0.1518135466979704,-0.3237857389330357
21,use knowledge,1,2,3,3,4,5,6,7,8,8,9,9,9,0.4757621612339225,-0.2243808328957545,-0.2270919798333233
22,new product development,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0350938694663032,-0.0133098716535228,0.1302273229541536
23,toolkit,1,1,1,1,1,1,4,4,4,4,5,5,5,-0.1061749308417148,-0.0686735594456956,-0.0584747943679569
24,healthcare,1,1,1,1,3,3,3,3,3,3,4,4,4,0.241006716262114,0.0467651684667481,0.1052479451632308
25,innovation ecosystem,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0536725762610503,0.0442306465169152,0.175222487840354
26,3d printing,1,1,1,1,1,1,1,5,7,7,8,8,8,-0.0884623302593197,0.1611868951743201,0.2500423092389801
27,cooperation,0,0,0,4,5,6,7,8,9,9,10,10,10,-0.2280654045452025,-0.04055250726336,-0.426698146400566
28,front end,0,0,0,4,5,6,7,8,9,9,10,10,10,-0.3004773644832593,0.0703647228395181,-0.3832328470144294
29,user-manufacturer interaction,0,0,0,4,5,6,7,8,9,9,10,10,10,-0.4049650309002056,-0.010209723670121,-0.2923175467972569
30,theory,1,1,2,2,2,2,2,2,2,2,2,2,11,0.13259823798845,0.5523354431672118,-0.0923541428462566
31,entrepreneurship,1,1,1,1,1,4,5,6,6,6,7,7,7,-0.0689265373958577,-0.3386198780754905,0.3122890130065335
32,collaboration,1,1,1,1,3,3,3,3,3,3,4,4,4,0.3124530197757627,0.0463205178660955,0.2489445622121866
33,embedded lead user,1,1,1,1,1,1,4,4,4,4,5,5,5,-0.1360754906018941,-0.0516123777755393,-0.113564655245714
34,lead user workshop,1,1,1,1,1,1,4,4,4,4,5,11,12,-0.2159959499838137,-0.1724098064441238,-0.2079956280003166
35,innovation management,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0293238124054981,0.0127485858995529,0.0643112979616658
36,product development,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0108090603017142,0.0509142347673116,0.0522652893416556
37,netnography,1,1,1,1,1,1,1,5,7,10,11,12,13,-0.3285644822696014,-0.0488823550361544,0.1085062833056597
38,crowdfunding platform,1,1,1,1,1,4,5,6,6,6,7,7,7,-0.0845112999173178,-0.2658645968017631,0.3785889067652825
