gold,teal,maroon
academy of management perspectives,international small business journal,american economic review
organization studies,long range planning,business horizons
international journal of technology management,journal of industrial economics,ieee transactions on engineering management
california management review,harvard business review,journal of economic psychology
creativity and innovation management,international journal of information management,journal of retailing
european journal of innovation management,organizational dynamics,r&d management
journal of business and psychology,european management journal,journal of the academy of marketing science
technological forecasting and social change,industrial marketing management,marketing letters
international journal of entrepreneurship and innovation management,international journal of innovation management,human resource management
,journal of business research,journal of applied psychology
,journal of organizational behavior,journal of consumer research
,mit sloan management review,journal of marketing
,organizational behavior and human decision processes,marketing science
,management decision,personnel psychology
,international journal of product development,technovation
,journal of economic behavior and organization,european journal of marketing
,management science,journal of marketing research
,organization science,
